study_accession,paper_id,pmid,pmcid,doi,title
PRJNA63661,32436839,32436839.0,PMC7371107,10.1099/mgen.0.000377,"Preterm infants harbour diverse &lt;i&gt;Klebsiella&lt;/i&gt; populations, including atypical species that encode and produce an array of antimicrobial resistance- and virulence-associated factors."
PRJNA352475,32508773,32508773.0,PMC7248251,10.3389/fmicb.2020.00932,Impact of Microbiota Transplant on Resistome of Gut Microbiota in Gnotobiotic Piglets and Human Subjects.
PRJNA484151,32508773,32508773.0,PMC7248251,10.3389/fmicb.2020.00932,Impact of Microbiota Transplant on Resistome of Gut Microbiota in Gnotobiotic Piglets and Human Subjects.
PRJNA290380,32728114,32728114.0,PMC7391733,10.1038/s41467-020-17541-6,"Microbiota assembly, structure, and dynamics among Tsimane horticulturalists of the Bolivian Amazon."
PRJNA592261,32788688,32788688.0,PMC7423923,10.1038/s41598-020-70684-w,Tobamoviruses can be frequently present in the oropharynx and gut of infants during their first year of life.
PRJNA486782,32917289,32917289.0,PMC7488762,10.1186/s40168-020-00906-w,Multi-omics analysis reveals the influence of genetic and environmental risk factors on developing gut microbiota in infants at risk of celiac disease.
PRJNA644725,32958861,32958861.0,PMC7506025,10.1038/s41598-020-71791-4,Metagenomic sequencing of stool samples in Bangladeshi infants: virome association with poliovirus shedding after oral poliovirus vaccination.
PRJNA296814,32968156,32968156.0,PMC7511970,10.1038/s41598-020-72386-9,Prospective associations of the infant gut microbiome and microbial function with social behaviors related to autism at age 3 years.
PRJEB11419,33005310,33005310.0,PMC7516180,10.1016/j.csbj.2020.08.028,Multi-population cohort meta-analysis of human intestinal microbiota in early life reveals the existence of infant community state types (ICSTs).
PRJEB15633,33005310,33005310.0,PMC7516180,10.1016/j.csbj.2020.08.028,Multi-population cohort meta-analysis of human intestinal microbiota in early life reveals the existence of infant community state types (ICSTs).
PRJNA642723,33023370,33023370.0,PMC7553750,10.1080/19490976.2020.1801964,A compromised developmental trajectory of the infant gut microbiome and metabolome in atopic eczema.
PRJEB2778,33353204,33353204.0,PMC7766018,10.3390/microorganisms8122032,Assessing the Multivariate Relationship between the Human Infant Intestinal Exfoliated Cell Transcriptome (Exfoliome) and Microbiome in Response to Diet.
PRJNA657818,33377127,33377127.0,PMC7762768,10.1016/j.xcrm.2020.100156,Delivery Mode Affects Stability of Early Infant Gut Microbiota.
PRJEB6456,33411719,33411719.0,PMC7790408,10.1371/journal.pone.0244876,Predicting drug-metagenome interactions: Variation in the microbial β-glucuronidase level in the human gut metagenomes.
PRJNA633576,33479326,33479326.0,PMC7820601,10.1038/s41598-020-80583-9,Metagenomic insights of the infant microbiome community structure and function across multiple sites in the United States.
PRJNA606271,33500411,33500411.0,PMC7838415,10.1038/s41467-020-20495-4,Neonatal antibiotic exposure impairs child growth during the first six years of life by perturbing intestinal microbial colonization.
PRJEB2778,33538807,33538807.0,PMC7947585,10.1093/femsec/fiab019,Breast milk urea as a nitrogen source for urease positive Bifidobacterium infantis.
PRJNA630999,33665175,33665175.0,PMC7921802,10.3389/fped.2021.618009,"Impact of Probiotic <i>B. infantis</i> EVC001 Feeding in Premature Infants on the Gut Microbiome, Nosocomially Acquired Antibiotic Resistance, and Enteric Inflammation."
PRJNA648487,33732655,33732655.0,PMC7958882,10.3389/fcimb.2021.595323,Factors Associated With the Microbiome in Moderate-Late Preterm Babies: A Cohort Study From the DIAMOND Randomized Controlled Trial.
PRJEB6456,33753486,33753486.0,PMC8020746,10.1073/pnas.2019336118,CODY enables quantitatively spatiotemporal predictions on in vivo gut microbial variability induced by diet intervention.
PRJEB32631,33960282,33960282.0,PMC8115609,10.1080/19490976.2021.1911571,Metagenomic analysis of mother-infant gut microbiome reveals global distinct and shared microbial signatures.
PRJEB6456,33960282,33960282.0,PMC8115609,10.1080/19490976.2021.1911571,Metagenomic analysis of mother-infant gut microbiome reveals global distinct and shared microbial signatures.
PRJNA322188,33960282,33960282.0,PMC8115609,10.1080/19490976.2021.1911571,Metagenomic analysis of mother-infant gut microbiome reveals global distinct and shared microbial signatures.
PRJNA339914,33960282,33960282.0,PMC8115609,10.1080/19490976.2021.1911571,Metagenomic analysis of mother-infant gut microbiome reveals global distinct and shared microbial signatures.
PRJNA352475,33960282,33960282.0,PMC8115609,10.1080/19490976.2021.1911571,Metagenomic analysis of mother-infant gut microbiome reveals global distinct and shared microbial signatures.
PRJNA379120,33960282,33960282.0,PMC8115609,10.1080/19490976.2021.1911571,Metagenomic analysis of mother-infant gut microbiome reveals global distinct and shared microbial signatures.
PRJNA384716,33960282,33960282.0,PMC8115609,10.1080/19490976.2021.1911571,Metagenomic analysis of mother-infant gut microbiome reveals global distinct and shared microbial signatures.
