study_accession,catalog_status,reason_code,n_authors,first_author,last_author,n_papers,n_linked_papers,n_bioproject_pubs,organisations,has_any_author,has_any_organisation,in_ncbi_bioproject
PRJNA446061,excluded,age_adult_only,0,,,0,0,0,Washington University,False,True,True
PRJNA445365,excluded,assay_amplicon_misfiled,0,,,0,0,0,Department of HuNan province,False,True,True
PRJNA1223686,excluded,age_unknown_no_evidence,0,,,0,0,0,Nanyang Technological University,False,True,True
PRJNA1271016,excluded,age_adult_only,0,,,0,0,0,University of Wisconsin-Madison,False,True,True
PRJNA343008,included,,0,,,0,0,0,University College Cork,False,True,True
PRJNA587350,excluded,assay_rna,3,Mohammad HA,Al-Nakib W,1,1,0,faculty of medicine,True,True,True
PRJNA624901,excluded,age_unknown_no_evidence,0,,,0,0,0,Inner Mongolia Agricultural University,False,True,True
PRJNA287207,included,,69,Fontana F,Milani C,10,9,1,University of Parma,True,True,True
PRJNA1128803,included,,0,,,0,0,0,Northeast Agricultural University,False,True,True
PRJNA786578,excluded,age_unknown_no_evidence,0,,,0,0,0,Public Health Agency of Canada,False,True,True
PRJEB22032,included,,0,,,0,0,0,Wellcome Sanger Institute,False,True,True
PRJNA606271,included,,22,Uzan-Yulzari A,Koren O,1,1,0,University of Trento,True,True,True
PRJNA943202,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Pennsylvania,False,True,True
PRJNA1435557,included,,0,,,0,0,0,UNIVERSITI TEKNOLOGI MALAYSIA,False,True,True
PRJNA1422631,excluded,age_child_over_36m,0,,,0,0,0,Institute Of Medical Research And Medicinal Plant Studies (impm),False,True,True
PRJNA1337442,included,,28,Doan T,Lietman TM,1,1,0,UCSF,True,True,True
PRJNA362284,excluded,age_unknown_no_evidence,27,Fontana F,Ventura M,2,1,1,The University of Tokyo,True,True,True
PRJNA811310,excluded,site_excluded,0,,,0,0,0,The Beijing Genomics Institute BGI,False,True,True
PRJNA929356,human_review,,0,,,0,0,0,ACEGID Redeemer's University,False,True,True
PRJEB38221,excluded,site_excluded,6,Pust MM,Tümmler B,1,1,0,MEDIZNISCHE HOCHSCHULE HANNOER,True,True,True
PRJNA420371,excluded,age_unknown_no_evidence,0,,,0,0,0,University of Alabama at Birmingham,False,True,True
PRJNA695570,included,,53,Peterson D,Klepac-Ceraj V,9,9,0,"Klepac-Ceraj Lab, Wellesley College; RESONANCE",True,True,True
PRJNA1404625,included,,0,,,0,0,0,University of California San Diego,False,True,True
PRJEB88622,excluded,site_excluded,6,Pucci N,Mende DR,1,1,0,amsterdam university medical center - location amc; Amsterdam University Medical Center - Location AMC,True,True,True
PRJNA1141394,included,,0,,,0,0,0,University of Florida,False,True,True
PRJDB4525,included,,14,Tarracchini C,Ventura M,1,1,0,Tokyo Institute of Technology; KYUSHU,True,True,True
PRJEB53954,included,,0,,,0,0,0,DALHOUSIE UNIVERSITY,False,True,True
PRJNA922799,excluded,site_excluded,0,,,0,0,0,"School of Stomatology, The Fourth Military Medical University",False,True,True
PRJNA562600,human_review,,17,Mancabelli L,Ventura M,1,1,0,Children's Hospital of Philadelphia,True,True,True
PRJNA489693,included,,18,Rizzo SM,Turroni F,2,2,0,"University of California, Davis",True,True,True
PRJNA1436979,excluded,age_unknown_no_evidence,0,,,0,0,0,"University of Shanghai for Science and Technology,",False,True,True
PRJNA850529,excluded,age_adult_only,0,,,0,0,0,Institute of Bioorganic Chemistry Polish Academy Sciences,False,True,True
PRJEB108450,human_review,,0,,,0,0,0,University of California San Diego Microbiome Initiative,False,True,True
PRJNA413162,included,,9,Lugli GA,Ventura M,1,1,0,Nestle Research Center,True,True,True
PRJNA1380314,excluded,age_unknown_no_evidence,0,,,0,0,0,"Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China",False,True,True
