study_accession,catalog_status,reason_code,n_authors,first_author,last_author,n_papers,n_linked_papers,n_bioproject_pubs,organisations,has_any_author,has_any_organisation,in_ncbi_bioproject
PRJNA685398,excluded,host_nonhuman,8,Papp M,Solymosi N,1,0,1,Univeristy of Veterinary Medicine Budapest,True,True,True
PRJNA689661,excluded,host_nonhuman,0,,,0,0,0,Hebrew University,False,True,True
PRJNA677897,excluded,host_nonhuman,0,,,0,0,0,University of Messina,False,True,True
PRJNA690816,excluded,host_nonhuman,0,,,0,0,0,University of Nebraska-Lincoln,False,True,True
PRJNA691897,excluded,host_nonhuman,0,,,0,0,0,University of Luxembourg,False,True,True
PRJNA702770,excluded,host_nonhuman,11,Liu Y,Zhang S,1,0,1,Shenyang Agricultural University,True,True,True
PRJNA377096,excluded,host_nonhuman,15,Sharp CE,Strous M,3,0,3,University of Calgary,True,True,True
PRJNA504043,excluded,host_nonhuman,0,,,0,0,0,University of Minnesota,False,True,True
PRJNA703749,excluded,host_nonhuman,0,,,0,0,0,"Diversite, Ecologie et Evolution Microbienne, Unite Ecologie Systematique et Evolution",False,True,True
PRJNA623111,excluded,host_nonhuman,0,,,0,0,0,University of Vienna,False,True,True
PRJNA687411,excluded,host_nonhuman,0,,,0,0,0,NHGRI/NIH,False,True,True
PRJNA689669,excluded,host_nonhuman,0,,,0,0,0,"Kunming Institute of Botany, Chinese Academy of Sciences",False,True,True
PRJNA726965,excluded,host_nonhuman,0,,,0,0,0,The Pennsylvania State University,False,True,True
PRJNA727554,excluded,host_nonhuman,0,,,0,0,0,Nottingham Trent University,False,True,True
PRJNA728956,excluded,host_nonhuman,0,,,0,0,0,Hebei University,False,True,True
PRJNA730932,excluded,host_nonhuman,0,,,0,0,0,Dalian Ocean University,False,True,True
PRJNA732239,excluded,host_nonhuman,0,,,0,0,0,DSM,False,True,True
PRJNA727939,excluded,host_nonhuman,0,,,0,0,0,National Research Institute of Cultural Heritage,False,True,True
PRJNA667736,excluded,host_nonhuman,9,Ganda E,Wiedmann M,1,0,1,The Pennsylvania State University,True,True,True
PRJNA734720,excluded,host_nonhuman,0,,,0,0,0,Chinese PLA General Hospital,False,True,True
PRJNA737178,excluded,host_nonhuman,0,,,0,0,0,Xinjiang University,False,True,True
PRJNA724996,excluded,host_nonhuman,0,,,0,0,0,Sun Yat-sen University,False,True,True
PRJNA741363,excluded,host_nonhuman,0,,,0,0,0,CSIR-IHBT PALAMPUR,False,True,True
PRJNA743541,excluded,host_nonhuman,0,,,0,0,0,DSM,False,True,True
PRJNA748454,excluded,host_nonhuman,0,,,0,0,0,Affiliated Foshan Maternity & Child Healthcare Hospital,False,True,True
PRJNA749165,excluded,host_nonhuman,0,,,0,0,0,Chinese Academy of Sciences,False,True,True
PRJNA761116,excluded,host_nonhuman,0,,,0,0,0,Vanderbilt University,False,True,True
PRJNA761967,excluded,host_nonhuman,0,,,0,0,0,Biomin Research center,False,True,True
PRJNA703060,excluded,host_nonhuman,0,,,0,0,0,East China University of Science and Technology,False,True,True
PRJNA766489,excluded,host_nonhuman,0,,,0,0,0,NORTH-WEST UNIVERSITY,False,True,True
PRJNA751165,excluded,host_nonhuman,0,,,0,0,0,Guangdong Laboratory Animals Monitoring Institute,False,True,True
PRJNA675607,excluded,host_nonhuman,13,Ehrenfels B,Wehrli B,1,0,1,"EAWAG, Swiss Federal Institute of Aquatic Science and Technology",True,True,True
PRJNA753493,excluded,host_nonhuman,0,,,0,0,0,APC Microbiome Ireland,False,True,True
PRJNA542320,excluded,host_nonhuman,14,Singer JR,Weaver CT,1,0,1,University of Alabama at Birmingham,True,True,True
PRJNA775821,excluded,host_nonhuman,0,,,0,0,0,University of Pretoria,False,True,True
PRJNA777435,excluded,host_nonhuman,0,,,0,0,0,Andres Bello University,False,True,True
PRJNA784430,excluded,host_nonhuman,0,,,0,0,0,"Institute of Deep Sea Science and Engineering, Chines Academy of Sciences",False,True,True
PRJNA786644,excluded,host_nonhuman,0,,,0,0,0,Shanghai Jiaotong University,False,True,True
PRJNA786485,excluded,host_nonhuman,0,,,0,0,0,University of Copenhagen,False,True,True
PRJNA787435,excluded,host_nonhuman,0,,,0,0,0,China Agricultural University,False,True,True
PRJNA788656,excluded,host_nonhuman,0,,,0,0,0,Nanjing University,False,True,True
PRJNA791128,excluded,host_nonhuman,0,,,0,0,0,National Institute of Animal Nutrition and Physiology,False,True,True
PRJNA793774,excluded,host_nonhuman,0,,,0,0,0,University of Copenhagen,False,True,True
PRJNA795684,excluded,host_nonhuman,0,,,0,0,0,University of Brasilia,False,True,True
PRJNA796108,excluded,host_nonhuman,0,,,0,0,0,University of Brasilia,False,True,True
PRJNA805531,excluded,host_nonhuman,0,,,0,0,0,Pontificia Universidad Catolica de Chile,False,True,True
PRJNA809384,excluded,host_nonhuman,0,,,0,0,0,University of Alberta,False,True,True
PRJNA813168,excluded,host_nonhuman,0,,,0,0,0,University of Chicago,False,True,True
PRJNA812891,excluded,host_nonhuman,0,,,0,0,0,University of Hong Kong,False,True,True
PRJNA812770,excluded,host_nonhuman,5,Koeppel AF,Turner SD,1,0,1,ERI,True,True,True
PRJNA812346,excluded,host_nonhuman,0,,,0,0,0,University of Washington,False,True,True
PRJNA816841,excluded,host_nonhuman,0,,,0,0,0,University of Kentucky,False,True,True
PRJNA768945,excluded,host_nonhuman,0,,,0,0,0,University of Manitoba,False,True,True
PRJNA823538,excluded,host_nonhuman,0,,,0,0,0,Luxembourg Institute of Science and Technology,False,True,True
PRJNA821718,excluded,host_nonhuman,0,,,0,0,0,North-West University,False,True,True
PRJNA702522,excluded,host_nonhuman,13,Den Uyl PA,Goodwin KD,1,0,1,University of Michigan,True,True,True
PRJNA828263,excluded,host_nonhuman,0,,,0,0,0,University College Cork,False,True,True
PRJNA830999,excluded,host_nonhuman,0,,,0,0,0,Nankai University,False,True,True
PRJNA784525,excluded,host_nonhuman,0,,,0,0,0,University of Minnesota,False,True,True
PRJNA831615,excluded,host_nonhuman,0,,,0,0,0,ICM-CSIC,False,True,True
PRJNA807808,excluded,host_nonhuman,7,Ovis-Sánchez JO,Carrillo-Reyes J,1,0,1,"Instituto de Ingenieria, Universidad Nacional Autonoma de Mexico",True,True,True
PRJNA828360,excluded,host_nonhuman,0,,,0,0,0,"Northwest A&F University, Yangling",False,True,True
PRJNA835523,excluded,host_nonhuman,0,,,0,0,0,Florida Atlantic University Harbor Branch Oceanographic Institute,False,True,True
PRJNA839571,excluded,host_nonhuman,0,,,0,0,0,Nankai University,False,True,True
PRJNA844538,excluded,host_nonhuman,0,,,0,0,0,Westlake University,False,True,True
PRJNA844935,excluded,host_nonhuman,0,,,0,0,0,University of Colorado - Anschutz,False,True,True
PRJNA854743,excluded,host_nonhuman,0,,,0,0,0,Tongji University,False,True,True
PRJNA854750,excluded,host_nonhuman,0,,,0,0,0,Tongji University,False,True,True
PRJNA855163,excluded,host_nonhuman,0,,,0,0,0,East China Normal University,False,True,True
PRJNA854800,excluded,host_nonhuman,0,,,0,0,0,South-Central University for Nationalities,False,True,True
PRJNA794308,excluded,host_nonhuman,0,,,0,0,0,The University of Adelaide,False,True,True
PRJNA857474,excluded,host_nonhuman,0,,,0,0,0,Westlake University,False,True,True
PRJNA576751,excluded,host_nonhuman,0,,,0,0,0,California Institute of Technology,False,True,True
PRJNA858966,excluded,host_nonhuman,0,,,0,0,0,Bose Institute,False,True,True
PRJNA741258,excluded,host_nonhuman,0,,,0,0,0,Stanford University,False,True,True
PRJNA865096,excluded,host_nonhuman,0,,,0,0,0,University of Parma,False,True,True
PRJNA705176,excluded,host_nonhuman,0,,,0,0,0,PROIMI,False,True,True
PRJNA821436,excluded,host_nonhuman,0,,,0,0,0,Georg-August-University Goettingen,False,True,True
PRJNA868775,excluded,host_nonhuman,0,,,0,0,0,Bangor University,False,True,True
PRJNA874348,excluded,host_nonhuman,0,,,0,0,0,China Agricultural University,False,True,True
PRJNA873262,excluded,host_nonhuman,0,,,0,0,0,Chinese Academy of Sciences,False,True,True
PRJNA875879,excluded,host_nonhuman,0,,,0,0,0,Cornell University,False,True,True
PRJNA876378,excluded,host_nonhuman,0,,,0,0,0,Ocean University of China,False,True,True
PRJNA876842,excluded,host_nonhuman,0,,,0,0,0,BITS Pilani KK Birla Goa Campus,False,True,True
PRJNA837705,excluded,host_nonhuman,0,,,0,0,0,Guangzhou University,False,True,True
PRJNA754380,excluded,host_nonhuman,0,,,0,0,0,Ecologie Systematique Evolution,False,True,True
PRJNA728719,excluded,host_nonhuman,0,,,0,0,0,University of Minnesota,False,True,True
PRJNA878851,excluded,host_nonhuman,0,,,0,0,0,Kansas State University,False,True,True
PRJNA879784,excluded,host_nonhuman,0,,,0,0,0,YONSEI UNIVERSITY,False,True,True
PRJNA880558,excluded,host_nonhuman,0,,,0,0,0,University of Kentucky,False,True,True
PRJNA847951,excluded,host_nonhuman,0,,,0,0,0,Peking University,False,True,True
PRJNA853148,excluded,host_nonhuman,0,,,0,0,0,Junagadh Agricultural University,False,True,True
PRJNA881852,excluded,host_nonhuman,0,,,0,0,0,CNR,False,True,True
PRJNA876377,excluded,host_nonhuman,11,Liu H,Guo W,1,0,1,Inner Mongolia University,True,True,True
PRJNA883728,excluded,host_nonhuman,0,,,0,0,0,University of Missouri Columbia,False,True,True
PRJNA786261,excluded,host_nonhuman,0,,,0,0,0,CAU,False,True,True
PRJNA886670,excluded,host_nonhuman,0,,,0,0,0,University of Veterinary Medicine Vienna,False,True,True
PRJNA887364,excluded,host_nonhuman,0,,,0,0,0,LAGOS STATE UNIVERSITY,False,True,True
PRJNA883215,excluded,host_nonhuman,0,,,0,0,0,granular sludge,False,True,True
PRJNA888399,excluded,host_nonhuman,0,,,0,0,0,Federal Research and Clinical Centre of Physical-Chemical Medicine,False,True,True
PRJNA888079,excluded,host_nonhuman,0,,,0,0,0,Lagos state university,False,True,True
PRJNA889342,excluded,host_nonhuman,0,,,0,0,0,Northwest A&F University,False,True,True
PRJNA891434,excluded,host_nonhuman,0,,,0,0,0,Northwest Agriculture & Forestry University,False,True,True
PRJNA892918,excluded,host_nonhuman,0,,,0,0,0,Shandong Academy of Agricultural Sciences,False,True,True
PRJNA922379,excluded,host_nonhuman,0,,,0,0,0,University of Padova,False,True,True
PRJNA864791,excluded,host_nonhuman,0,,,0,0,0,Fundacao Oswaldo Cruz,False,True,True
PRJNA929687,excluded,host_nonhuman,0,,,0,0,0,IICT,False,True,True
PRJNA841806,excluded,host_nonhuman,0,,,0,0,0,University of Nottingham,False,True,True
PRJNA933895,excluded,host_nonhuman,0,,,0,0,0,"CSIR-NEERI, Nagpur",False,True,True
PRJNA935076,excluded,host_nonhuman,0,,,0,0,0,University of Cambridge,False,True,True
PRJNA939514,excluded,host_nonhuman,0,,,0,0,0,Royal Canin,False,True,True
PRJNA940065,excluded,host_nonhuman,0,,,0,0,0,The Pennsylvania State University,False,True,True
PRJNA944095,excluded,host_nonhuman,0,,,0,0,0,Tarim University,False,True,True
PRJNA944808,excluded,host_nonhuman,0,,,0,0,0,University of Saskatchewan,False,True,True
PRJNA949407,excluded,host_nonhuman,0,,,0,0,0,The University of Jinan,False,True,True
PRJNA950955,excluded,host_nonhuman,0,,,0,0,0,"Northeast Institute of Geography and Agroecology, Chinese Academy of Sciences",False,True,True
PRJNA952315,excluded,host_nonhuman,0,,,0,0,0,Huazhong Agriculture University,False,True,True
PRJNA953804,excluded,host_nonhuman,0,,,0,0,0,Fujian Academy of Agricultural Sciences,False,True,True
PRJNA961982,excluded,host_nonhuman,0,,,0,0,0,Indiana University School of Medicine,False,True,True
PRJNA962119,excluded,host_nonhuman,0,,,0,0,0,Indiana University School of Medicine,False,True,True
PRJNA950991,excluded,host_nonhuman,0,,,0,0,0,North Carolina State University College of Veterinary Medicine,False,True,True
PRJNA966095,excluded,host_nonhuman,0,,,0,0,0,Wageningen University & Research,False,True,True
PRJNA879921,excluded,host_nonhuman,0,,,0,0,0,Agricultural Genomics Institute at Shenzhen,False,True,True
PRJNA877812,excluded,host_nonhuman,0,,,0,0,0,Universita degli Studi di Firenze,False,True,True
PRJNA970524,excluded,host_nonhuman,0,,,0,0,0,Norwegian University of Life Sciences,False,True,True
PRJNA967649,excluded,host_nonhuman,0,,,0,0,0,UAE University,False,True,True
PRJNA971778,excluded,host_nonhuman,0,,,0,0,0,Institute of Urban Environment,False,True,True
PRJNA975618,excluded,host_nonhuman,0,,,0,0,0,China agricultural university,False,True,True
PRJNA842493,excluded,host_nonhuman,0,,,0,0,0,"Wastewater surveillance sequencing data for Houston, Texas, 2021",False,True,True
PRJNA792592,excluded,host_nonhuman,0,,,0,0,0,College of Charleston,False,True,True
PRJNA779404,excluded,host_nonhuman,3,Holman DB,Kommadath A,1,0,1,Agriculture and Agri-Food Canada,True,True,True
PRJNA882739,excluded,host_nonhuman,0,,,0,0,0,North-West University,False,True,True
PRJNA952100,excluded,host_nonhuman,0,,,0,0,0,North-West University,False,True,True
PRJNA833914,excluded,host_nonhuman,0,,,0,0,0,Beijing University of Technology,False,True,True
PRJNA850792,excluded,host_nonhuman,0,,,0,0,0,Cornell University,False,True,True
PRJNA971915,excluded,host_nonhuman,0,,,0,0,0,Universidad de Chile,False,True,True
PRJNA979807,excluded,host_nonhuman,0,,,0,0,0,institute of soil science,False,True,True
PRJNA982403,excluded,host_nonhuman,0,,,0,0,0,Cincinnati Childrens Hosp.,False,True,True
PRJNA983521,excluded,host_nonhuman,0,,,0,0,0,University of Minnesota,False,True,True
PRJNA986325,excluded,host_nonhuman,0,,,0,0,0,Australian Wine Research Institute,False,True,True
PRJNA993975,excluded,host_nonhuman,0,,,0,0,0,Bangor University,False,True,True
PRJNA882120,excluded,host_nonhuman,0,,,0,0,0,University of Oklahoma,False,True,True
PRJNA900227,excluded,host_nonhuman,0,,,0,0,0,University of Illinois at Chicago,False,True,True
PRJNA901887,excluded,host_nonhuman,0,,,0,0,0,Microbial Biotechnology Laboratory (Prof. O.O. Babalola,False,True,True
PRJNA903182,excluded,host_nonhuman,0,,,0,0,0,University of Kentucky,False,True,True
PRJNA922380,excluded,host_nonhuman,0,,,0,0,0,University of Padova,False,True,True
PRJNA925931,excluded,host_nonhuman,2,Ettinger CL,Laforgia ML,1,0,1,"University of California, Riverside",True,True,True
PRJNA926253,excluded,host_nonhuman,0,,,0,0,0,CSIR-National Environmental Engineering Research Institute (NEERI),False,True,True
PRJNA908759,excluded,host_nonhuman,0,,,0,0,0,GenoScreen,False,True,True
PRJNA909292,excluded,host_nonhuman,0,,,0,0,0,National Research Council Canada,False,True,True
PRJNA988414,excluded,host_nonhuman,0,,,0,0,0,CSIR-NEERI,False,True,True
PRJNA699333,excluded,host_nonhuman,0,,,0,0,0,The University of Hong Kong,False,True,True
PRJNA720801,excluded,host_nonhuman,0,,,0,0,0,IPB University,False,True,True
PRJNA998844,excluded,host_nonhuman,0,,,0,0,0,Robert Koch-Institute,False,True,True
PRJNA999488,excluded,host_nonhuman,0,,,0,0,0,Uniwersytet Warminsko-Mazurski w Olsztynie,False,True,True
PRJNA1004601,excluded,host_nonhuman,0,,,0,0,0,CEBAS-CSIC,False,True,True
PRJNA1001128,excluded,host_nonhuman,0,,,0,0,0,Yunnan Agricultural University,False,True,True
PRJNA1007597,excluded,host_nonhuman,0,,,0,0,0,Peking Union Medical College Hospital,False,True,True
PRJNA995040,excluded,host_nonhuman,0,,,0,0,0,south china agricultural university,False,True,True
PRJNA1010388,excluded,host_nonhuman,0,,,0,0,0,National Chung-Hsing University,False,True,True
PRJNA1025926,excluded,host_nonhuman,0,,,0,0,0,Shanghai Jiao Tong University School of Medicine,False,True,True
PRJNA1031997,excluded,host_nonhuman,33,AbuOun M,On Behalf Of The Rehab Consortium,2,0,2,Sciensano,True,True,True
PRJNA1033365,excluded,host_nonhuman,0,,,0,0,0,Cawthron Institue,False,True,True
PRJNA1033225,excluded,host_nonhuman,0,,,0,0,0,Ben Gurion University,False,True,True
PRJNA1001011,excluded,host_nonhuman,0,,,0,0,0,Berkeley National Lab; ENIGMA (Ecosystems and Networks Integrated with Genes and Molecular Assemblies),False,True,True
PRJNA1037140,excluded,host_nonhuman,0,,,0,0,0,University of Amsterdam,False,True,True
PRJNA1040009,excluded,host_nonhuman,0,,,0,0,0,University of Bologna,False,True,True
PRJNA1042834,excluded,host_nonhuman,0,,,0,0,0,Huazhong Agricultural University,False,True,True
PRJNA1043094,excluded,host_nonhuman,0,,,0,0,0,Northwestern Polytechnical University,False,True,True
PRJNA1043835,excluded,host_nonhuman,0,,,0,0,0,Ram Lal Anand College,False,True,True
PRJNA1042833,excluded,host_nonhuman,0,,,0,0,0,Huazhong Agricultural University,False,True,True
PRJNA1046061,excluded,host_nonhuman,0,,,0,0,0,Institut Pasteur Montevideo,False,True,True
PRJNA1046661,excluded,host_nonhuman,0,,,0,0,0,"Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences",False,True,True
PRJNA1048529,excluded,host_nonhuman,0,,,0,0,0,University of Lausanne,False,True,True
PRJNA1048719,excluded,host_nonhuman,0,,,0,0,0,South China University of Technology,False,True,True
PRJNA749807,excluded,host_nonhuman,0,,,0,0,0,"University of California, Riverside",False,True,True
PRJNA1051081,excluded,host_synthetic,0,,,0,0,0,Data Analytics and Algorithm Development Group,False,True,True
PRJNA1055283,excluded,host_nonhuman,0,,,0,0,0,nanjing university,False,True,True
PRJNA1054518,excluded,host_nonhuman,0,,,0,0,0,University of Pennsylvania,False,True,True
PRJNA1048174,excluded,host_nonhuman,0,,,0,0,0,Nanjing Normal University,False,True,True
PRJNA1055888,excluded,host_nonhuman,0,,,0,0,0,University of Oxford,False,True,True
PRJNA1262814,excluded,host_nonhuman,0,,,0,0,0,China Agricultural University,False,True,True
PRJNA1263385,excluded,host_nonhuman,0,,,0,0,0,NJAU,False,True,True
PRJNA1264687,excluded,host_nonhuman,0,,,0,0,0,Gyeongsang National University,False,True,True
PRJNA1264756,excluded,host_nonhuman,0,,,0,0,0,University of Bologna,False,True,True
PRJNA1264511,excluded,host_nonhuman,0,,,0,0,0,University of Gothenburg,False,True,True
PRJNA914731,excluded,host_nonhuman,0,,,0,0,0,Sikkim University,False,True,True
PRJNA916364,excluded,host_nonhuman,0,,,0,0,0,Technion - Israel Institute of Technology,False,True,True
PRJNA862187,excluded,host_nonhuman,0,,,0,0,0,Gwangju Institue of Science and Technology,False,True,True
PRJNA1266479,excluded,host_nonhuman,0,,,0,0,0,Nile University,False,True,True
PRJNA1266614,excluded,host_nonhuman,0,,,0,0,0,zhejiang university,False,True,True
PRJNA1266846,excluded,host_nonhuman,0,,,0,0,0,The Ohio State University,False,True,True
PRJNA918527,excluded,host_nonhuman,0,,,0,0,0,Hunan Agricultural University,False,True,True
PRJNA922117,excluded,host_nonhuman,0,,,0,0,0,"University of Public Service,Faculty of Water Sciences",False,True,True
PRJNA1269215,excluded,host_nonhuman,0,,,0,0,0,Shanghai University of Traditional Chinese Medicine,False,True,True
PRJNA1270172,excluded,host_nonhuman,0,,,0,0,0,guangzhou university,False,True,True
PRJNA1271462,excluded,host_nonhuman,0,,,0,0,0,Michigan State University,False,True,True
PRJNA1171192,excluded,host_nonhuman,0,,,0,0,0,"P.D. Patel Institute of Applied Sciences, CHARUSAT University",False,True,True
PRJNA1272344,excluded,host_nonhuman,0,,,0,0,0,Shenyang Agricultural University,False,True,True
PRJNA1268148,excluded,host_nonhuman,0,,,0,0,0,NODE,False,True,True
PRJNA1273317,excluded,host_nonhuman,0,,,0,0,0,Tianjin University of Traditional Chinese Medicine,False,True,True
PRJNA1014771,excluded,host_nonhuman,0,,,0,0,0,Sun Yat-sen University,False,True,True
PRJNA1274447,excluded,host_nonhuman,0,,,0,0,0,Collevatti Lab,False,True,True
PRJNA1275591,excluded,host_nonhuman,0,,,0,0,0,Liaocheng University,False,True,True
PRJNA1276286,excluded,host_nonhuman,0,,,0,0,0,University of Trier,False,True,True
PRJNA1279340,excluded,host_nonhuman,0,,,0,0,0,Sichuan Agricultural University,False,True,True
PRJNA936569,excluded,host_nonhuman,0,,,0,0,0,Elizade University,False,True,True
PRJNA1024877,excluded,host_nonhuman,0,,,0,0,0,Shandong Peanut Research Institute,False,True,True
PRJNA1279254,excluded,host_nonhuman,10,Kos D,Ruzzini A,1,0,1,Ruzzini Lab,True,True,True
PRJNA1280513,excluded,host_nonhuman,0,,,0,0,0,Xuzhou Medical University,False,True,True
PRJNA1280746,excluded,host_nonhuman,0,,,0,0,0,Anhui Normal University,False,True,True
PRJNA1284408,excluded,host_nonhuman,0,,,0,0,0,Texas A&M University,False,True,True
PRJNA1288150,excluded,host_nonhuman,0,,,0,0,0,Northwest A&F University,False,True,True
PRJNA875570,excluded,host_nonhuman,7,Chernitsyna SM,Zemskaya TI,1,0,1,Limnological Institute SB RAS,True,True,True
PRJNA1337626,excluded,host_nonhuman,0,,,0,0,0,Chinese Academy of Sciences,False,True,True
PRJNA1338506,excluded,host_nonhuman,0,,,0,0,0,University of Minnesota Duluth,False,True,True
PRJNA1338796,excluded,host_nonhuman,0,,,0,0,0,Hainan University,False,True,True
PRJNA1344079,excluded,host_nonhuman,0,,,0,0,0,CENTER FOR MARINE LIVING RESOURCES,False,True,True
PRJNA1344417,excluded,host_nonhuman,0,,,0,0,0,Shanghai Jiao Tong University,False,True,True
PRJNA1344777,excluded,host_nonhuman,0,,,0,0,0,Alagappa University,False,True,True
PRJNA1344786,excluded,host_nonhuman,0,,,0,0,0,Alagappa University,False,True,True
PRJNA1344894,excluded,host_nonhuman,0,,,0,0,0,University of Bologna,False,True,True
PRJNA1345524,excluded,host_synthetic,0,,,0,0,0,Chinese Academy of Fishery Sciences,False,True,True
PRJNA1347079,excluded,host_nonhuman,0,,,0,0,0,Penn State University,False,True,True
PRJNA1347078,excluded,host_nonhuman,0,,,0,0,0,BioFigR,False,True,True
PRJNA1347482,excluded,host_nonhuman,0,,,0,0,0,Hohai University,False,True,True
PRJNA1348892,excluded,host_nonhuman,0,,,0,0,0,Elizade University,False,True,True
PRJNA1353592,excluded,host_nonhuman,0,,,0,0,0,Sichuan University,False,True,True
PRJNA1353899,excluded,host_nonhuman,0,,,0,0,0,"China university of geoscience,Wuhan",False,True,True
PRJNA1355442,excluded,host_nonhuman,0,,,0,0,0,HangZhou Normal University,False,True,True
PRJNA1357316,excluded,host_nonhuman,0,,,0,0,0,Lanzhou University,False,True,True
PRJNA1063731,excluded,host_nonhuman,0,,,0,0,0,Senckenberg Biodiversity and Climate Research Centre,False,True,True
PRJNA1065621,excluded,host_nonhuman,0,,,0,0,0,Centre for Cellular and Molecular Biology; Alliance for Pathogen Surveillance Innovations- India,False,True,True
PRJNA1067430,excluded,host_nonhuman,0,,,0,0,0,Shantou University,False,True,True
PRJNA1069328,excluded,host_nonhuman,0,,,0,0,0,Xinjiang Institute of Ecology and Geography,False,True,True
PRJNA1073286,excluded,host_nonhuman,0,,,0,0,0,University of Dhaka,False,True,True
PRJNA1358238,excluded,host_nonhuman,0,,,0,0,0,UFRGS,False,True,True
PRJNA1358741,excluded,host_nonhuman,0,,,0,0,0,China Agricultural University,False,True,True
PRJNA1077927,excluded,host_nonhuman,0,,,0,0,0,NCI/CCR/LICI,False,True,True
PRJNA1361219,excluded,host_nonhuman,0,,,0,0,0,Southern Methodist University,False,True,True
PRJNA1362963,excluded,host_nonhuman,0,,,0,0,0,Dalian University of Technology,False,True,True
PRJNA1367325,excluded,host_nonhuman,0,,,0,0,0,Nanjing university,False,True,True
PRJNA1369828,excluded,host_nonhuman,0,,,0,0,0,Qilu Hospital of Shandong University,False,True,True
PRJNA1370260,excluded,host_nonhuman,0,,,0,0,0,Chengdu research base of giant panda breeding,False,True,True
PRJNA1370788,excluded,host_nonhuman,0,,,0,0,0,Qilu Hospital of Shandong University,False,True,True
PRJNA1370591,excluded,host_nonhuman,0,,,0,0,0,Gansu Agricultural University,False,True,True
PRJNA1373209,excluded,host_nonhuman,0,,,0,0,0,shanxi agriculture university,False,True,True
PRJNA844179,excluded,host_nonhuman,0,,,0,0,0,National Environmental Engineering Research Institute,False,True,True
PRJNA1375750,excluded,host_nonhuman,0,,,0,0,0,"Bangladesh Agricultural University, Mymensingh",False,True,True
PRJNA1378522,excluded,host_nonhuman,0,,,0,0,0,South China Sea Fisheries Research Institute,False,True,True
PRJNA1379300,excluded,host_nonhuman,0,,,0,0,0,Newcastle University,False,True,True
PRJNA1390513,excluded,host_nonhuman,0,,,0,0,0,Federal University of Rio Grande do Norte,False,True,True
PRJNA1393226,excluded,host_nonhuman,0,,,0,0,0,Tongji University,False,True,True
PRJNA850162,excluded,host_nonhuman,0,,,0,0,0,Bard College at Simon's Rock,False,True,True
PRJNA1394194,excluded,host_nonhuman,0,,,0,0,0,Hebei Geo University,False,True,True
PRJNA1313400,excluded,host_nonhuman,0,,,0,0,0,NanChang University,False,True,True
PRJNA1395332,excluded,host_nonhuman,0,,,0,0,0,"Institute of Oceanology, Chinese Academy of Sciences",False,True,True
PRJNA1413893,excluded,host_nonhuman,0,,,0,0,0,Shanghai Academy of Agricultural Sciences,False,True,True
PRJNA1415085,excluded,host_nonhuman,24,Singh NK,Tallapaka KB,1,0,1,CSIR-Center for Cellular and Molecular Biology,True,True,True
PRJNA1082221,excluded,host_nonhuman,0,,,0,0,0,Uniwersytet Warminsko-Mazurski w Olsztynie,False,True,True
PRJNA1416814,excluded,host_nonhuman,0,,,0,0,0,China Agricultural University,False,True,True
PRJNA885126,excluded,host_nonhuman,0,,,0,0,0,Elizade University,False,True,True
PRJNA1084095,excluded,host_nonhuman,0,,,0,0,0,Institute,False,True,True
PRJNA1416788,excluded,host_nonhuman,0,,,0,0,0,Canadian Food Inspection Agency,False,True,True
PRJNA1087008,excluded,host_nonhuman,8,Xu W,Yung CCM,1,0,1,HKUST,True,True,True
PRJNA1089555,excluded,host_nonhuman,0,,,0,0,0,UiT The Arctic University of Norway,False,True,True
PRJNA1089370,excluded,host_nonhuman,0,,,0,0,0,INSTITUT PASTEUR,False,True,True
PRJNA1090675,excluded,host_nonhuman,0,,,0,0,0,University of Exeter,False,True,True
PRJNA1420244,excluded,host_nonhuman,0,,,0,0,0,"Faculty of Veterinary Science, Mahidol University",False,True,True
PRJNA1421978,excluded,host_nonhuman,0,,,0,0,0,University of Minnesota,False,True,True
PRJNA894350,excluded,host_nonhuman,0,,,0,0,0,University of Pretoria,False,True,True
PRJNA894488,excluded,host_nonhuman,0,,,0,0,0,Elizade University,False,True,True
PRJNA1052986,excluded,host_nonhuman,0,,,0,0,0,"MGU, Nalgonda",False,True,True
PRJNA1420735,excluded,host_nonhuman,0,,,0,0,0,Sichuan University,False,True,True
PRJNA1423891,excluded,host_nonhuman,0,,,0,0,0,Colorado State University,False,True,True
PRJNA1424189,excluded,host_nonhuman,0,,,0,0,0,Tongji University,False,True,True
PRJNA1422770,excluded,host_nonhuman,0,,,0,0,0,Sequencing data from Amy Pruden's lab at Virginia Tech,False,True,True
PRJNA1169643,excluded,host_nonhuman,0,,,0,0,0,Tongji University,False,True,True
PRJNA1214893,excluded,host_nonhuman,0,,,0,0,0,Lanzhou University,False,True,True
PRJNA1207694,excluded,host_nonhuman,0,,,0,0,0,Icahn School of Medicine at Mount Sinai,False,True,True
PRJNA1429035,excluded,host_nonhuman,0,,,0,0,0,Huazhong agricultural university,False,True,True
PRJNA1429038,excluded,host_nonhuman,0,,,0,0,0,Scientific Veterinary Institute Novi Sad,False,True,True
PRJNA1197353,excluded,host_nonhuman,0,,,0,0,0,Chinese Academy of Sciences,False,True,True
PRJNA1435883,excluded,host_nonhuman,0,,,0,0,0,Saint Louis University,False,True,True
